x,y1,y2
0,0.397995471,0.000868644
0.01,0.398406761,0.000871947
0.02,0.398818193,0.000875263
0.03,0.399229766,0.000878591
0.04,0.399641479,0.000881931
0.05,0.400053334,0.000885284
0.06,0.400465328,0.00088865
0.07,0.400877461,0.000892029
0.08,0.401289733,0.00089542
0.09,0.401702144,0.000898824
0.1,0.402114692,0.000902241
0.11,0.402527378,0.000905671
0.12,0.402940201,0.000909114
0.13,0.40335316,0.00091257
0.14,0.403766255,0.000916039
0.15,0.404179486,0.000919521
0.16,0.404592851,0.000923016
0.17,0.405006351,0.000926525
0.18,0.405419985,0.000930046
0.19,0.405833752,0.000933581
0.2,0.406247653,0.000937129
0.21,0.406661685,0.000940691
0.22,0.40707585,0.000944266
0.23,0.407490146,0.000947855
0.24,0.407904572,0.000951457
0.25,0.40831913,0.000955072
0.26,0.408733817,0.000958702
0.27,0.409148634,0.000962345
0.28,0.409563579,0.000966001
0.29,0.409978653,0.000969672
0.3,0.410393855,0.000973356
0.31,0.410809184,0.000977055
0.32,0.41122464,0.000980767
0.33,0.411640222,0.000984493
0.34,0.41205593,0.000988234
0.35,0.412471764,0.000991988
0.36,0.412887722,0.000995756
0.37,0.413303805,0.000999539
0.38,0.413720011,0.001003336
0.39,0.414136341,0.001007148
0.4,0.414552794,0.001010973
0.41,0.414969368,0.001014814
0.42,0.415386065,0.001018668
0.43,0.415802883,0.001022537
0.44,0.416219821,0.001026421
0.45,0.41663688,0.001030319
0.46,0.417054058,0.001034232
0.47,0.417471355,0.00103816
0.48,0.417888772,0.001042103
0.49,0.418306306,0.00104606
0.5,0.418723957,0.001050033
0.51,0.419141726,0.00105402
0.52,0.419559612,0.001058022
0.53,0.419977613,0.00106204
0.54,0.42039573,0.001066072
0.55,0.420813962,0.00107012
0.56,0.421232308,0.001074183
0.57,0.421650768,0.001078261
0.58,0.422069341,0.001082355
0.59,0.422488028,0.001086464
0.6,0.422906827,0.001090589
0.61,0.423325737,0.001094729
0.62,0.423744759,0.001098884
0.63,0.424163891,0.001103056
0.64,0.424583134,0.001107243
0.65,0.425002487,0.001111446
0.66,0.425421948,0.001115664
0.67,0.425841518,0.001119899
0.68,0.426261197,0.001124149
0.69,0.426680982,0.001128415
0.7,0.427100875,0.001132698
0.71,0.427520875,0.001136996
0.72,0.42794098,0.001141311
0.73,0.428361191,0.001145642
0.74,0.428781506,0.001149989
0.75,0.429201926,0.001154353
0.76,0.42962245,0.001158733
0.77,0.430043076,0.00116313
0.78,0.430463806,0.001167543
0.79,0.430884638,0.001171972
0.8,0.431305571,0.001176419
0.81,0.431726606,0.001180882
0.82,0.432147741,0.001185361
0.83,0.432568976,0.001189858
0.84,0.432990311,0.001194372
0.85,0.433411744,0.001198902
0.86,0.433833276,0.00120345
0.87,0.434254906,0.001208014
0.88,0.434676633,0.001212596
0.89,0.435098456,0.001217195
0.9,0.435520376,0.001221811
0.91,0.435942392,0.001226445
0.92,0.436364503,0.001231096
0.93,0.436786708,0.001235765
0.94,0.437209007,0.001240451
0.95,0.4376314,0.001245154
0.96,0.438053885,0.001249876
0.97,0.438476463,0.001254615
0.98,0.438899133,0.001259372
0.99,0.439321894,0.001264147
1,0.439744746,0.001268939
1.01,0.440167688,0.00127375
1.02,0.440590719,0.001278579
1.03,0.44101384,0.001283425
1.04,0.441437049,0.001288291
1.05,0.441860346,0.001293174
1.06,0.44228373,0.001298076
1.07,0.442707202,0.001302996
1.08,0.443130759,0.001307934
1.09,0.443554402,0.001312891
1.1,0.443978131,0.001317867
1.11,0.444401944,0.001322861
1.12,0.444825841,0.001327874
1.13,0.445249821,0.001332906
1.14,0.445673885,0.001337957
1.15,0.446098031,0.001343026
1.16,0.446522258,0.001348115
1.17,0.446946567,0.001353223
1.18,0.447370957,0.00135835
1.19,0.447795426,0.001363496
1.2,0.448219976,0.001368662
1.21,0.448644604,0.001373846
1.22,0.449069311,0.001379051
1.23,0.449494095,0.001384274
1.24,0.449918957,0.001389518
1.25,0.450343896,0.001394781
1.26,0.450768911,0.001400064
1.27,0.451194001,0.001405366
1.28,0.451619167,0.001410689
1.29,0.452044407,0.001416031
1.3,0.452469721,0.001421393
1.31,0.452895108,0.001426776
1.32,0.453320569,0.001432178
1.33,0.453746101,0.001437601
1.34,0.454171705,0.001443044
1.35,0.45459738,0.001448508
1.36,0.455023126,0.001453992
1.37,0.455448942,0.001459496
1.38,0.455874827,0.001465022
1.39,0.456300781,0.001470567
1.4,0.456726803,0.001476134
1.41,0.457152893,0.001481722
1.42,0.45757905,0.00148733
1.43,0.458005273,0.001492959
1.44,0.458431563,0.00149861
1.45,0.458857917,0.001504281
1.46,0.459284337,0.001509974
1.47,0.459710821,0.001515688
1.48,0.460137369,0.001521424
1.49,0.460563979,0.00152718
1.5,0.460990653,0.001532959
1.51,0.461417388,0.001538759
1.52,0.461844185,0.001544581
